Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
PS 21:1_18:2,0.074257694,0.02865589,0.015105924,0.005604326,0.155109977,0.016867431,0.018605419,0.185169431,0.011231246,1.931286522,0.036351971,0.007823546,0.089232459,0.01075111,0.012871927,0.03350204,0.019430451,0.129493771,0.015026241,0.037267004
PS 36:4,0.002689394,0.005758824,0.004402263,0.090816422,0.004175105,0.08439109,0.001292883,0.00380288,0.001593073,0.002555463,0.018540243,0.003413508,0.101908135,0.002699952,0.001907626,0.028079351,0.011146296,0.000913929,0.122582606,0.006581707
PS 36:5,0.0,0.004493744,0.000925144,0.009470973,0.0,0.008913309,0.001559859,0.00051231,0.0,0.000104182,0.0,0.0,0.00623542,0.000202394,0.000731112,0.005858324,0.001028929,0.0,0.005301761,0.000635101
"PS(14:0/18:3(9Z,12Z,15Z))",0.000704815,0.000236395,0.000923283,0.0,0.0,0.0,0.001533867,0.0,0.000793236,0.000364079,0.001327484,0.000711995,2.82344e-05,0.000623868,0.001210749,0.0,0.002436834,5.8623e-05,0.0,0.00034541
"PS(14:0/20:3(5Z,8Z,11Z))",0.000779167,0.002649275,0.001645229,0.012716181,0.006856537,0.024092964,0.000266218,0.000728751,0.000284214,0.000925912,0.011000454,0.000521866,0.185543777,0.001841057,0.001223194,0.006570428,0.003105051,0.0,0.039919215,0.004095385
PS(15:0/20:1(11Z)),0.000524735,0.002493261,0.000852297,0.011176727,0.002954137,0.013977051,0.0003805,0.00141344,0.000520488,0.001570052,0.00145484,0.000888537,0.040293687,0.003579102,0.0012159,0.005506284,0.00343914,0.000632321,0.012081092,0.001201771
"PS(16:0/18:1(12Z)-2OH(9,10))",0.0,0.003975916,0.002967735,0.010876197,0.0,0.018940821,0.000340898,0.000698861,0.0,0.0,0.0,0.038882325,0.014383575,0.0,0.0,0.012485224,0.002757423,0.0,0.006669987,0.001751669
PS(16:1(9Z)/14:0),0.000225821,0.000699381,0.002726968,0.000438953,0.000457216,0.001054775,0.001236776,0.000312916,0.000233988,0.001027795,0.002632602,0.002140528,0.000892623,0.003774244,0.002103497,0.001499428,0.006683226,0.001165232,0.001488339,0.001893584
PS(16:1(9Z)/18:1(11Z)),0.001262549,0.004810724,0.001427064,0.007061073,0.00291479,0.007323773,0.000978617,0.001516021,0.000190082,0.001520148,0.002870194,0.001266351,0.009077459,0.007869866,0.001257446,0.00369545,0.002915221,0.000929174,0.010026983,0.001894459
PS(18:0/18:2),0.02537177,0.07905791,0.006052989,0.707457613,0.059695949,0.665221554,0.023455719,0.031128691,0.014567299,0.00832544,0.097767042,0.038102883,0.651568892,0.01705413,0.008651621,0.298994268,0.069228519,0.048385117,0.204669909,0.022627437
"PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.009565822,0.009776998,0.011728382,0.033146798,0.010105728,0.034285172,0.001765677,0.006210802,0.000145231,0.00284347,0.008963367,0.00352591,0.088964684,0.001885927,0.00259162,0.013061475,0.007802715,0.005144791,0.03197674,0.004213356
PS(18:1(11Z)/18:0),0.004205139,0.01984203,0.001172608,0.078064693,0.009685937,0.189759549,0.007831993,0.007210594,0.0,0.008670125,0.014829626,0.003631017,0.179141889,0.002217409,0.007856742,0.04649678,0.005831574,0.014116118,0.034939259,0.006079389
"PS(18:1(12Z)-2OH(9,10)/18:0)",0.0,0.003638151,0.002271814,0.005348876,0.000828521,0.013569839,0.0,0.00105124,0.001265557,0.000284933,0.003757395,0.000558539,0.009734691,0.041629047,0.001800779,0.006129919,0.001314054,0.002146381,0.003387343,0.000500118
