Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
Adenosine Diphosphate,0.008292253,0.005850015,0.009788775,0.000888564,0.003549951,0.005973174,0.002176702,0.006693674,0.00714211,0.008874593,0.006417191,0.007829451,0.002270657,0.009746188,0.051393343,0.013662752,0.014528324,0.004673796,0.002099237,0.009114176
Adenosine triphosphate,0.000288291,0.0059741,3.05883e-05,0.000168584,0.001953347,0.004669697,0.00051499,0.004703645,0.006498348,0.000468811,0.008680849,0.01186171,0.019024452,0.003604588,2.99157e-05,0.005451282,0.000152914,0.065840456,0.015746187,0.017735973
Allyl 3-cyclohexylpropionate,0.000773077,0.000178074,0.000825129,0.000192184,0.000702558,0.000448347,0.000235959,0.000272469,0.001209372,0.002349225,0.000884727,0.001396114,0.000829682,0.002789101,0.002340569,0.001859711,0.001046081,0.006450641,0.00069679,0.001465723
Amabiline,0.003857843,0.113039868,0.000349949,0.003738839,0.005345186,0.003273869,0.116650295,0.024829535,0.002833816,0.000442734,0.001409879,0.000314753,0.002198663,0.01687618,0.028777225,0.00017579,0.000212673,0.001776484,0.000400199,0.010258395
Amygdalin,0.042891673,0.018949964,0.02414434,0.02391415,0.049294428,0.027502378,0.01255165,0.038727394,0.039716872,0.029429198,0.025498652,0.043229089,0.023683657,0.020328234,0.016256855,0.014100484,0.030780692,0.050611065,0.036132601,0.020042656
Antimycin A,0.000282245,0.000728639,0.000917769,0.000347081,0.000325238,0.000244833,0.000281885,0.000195013,0.000674332,0.002116421,0.018437504,0.013001794,0.000295207,0.00137501,0.005459059,0.002763416,0.002915009,0.001670447,0.000431119,0.005084783
Arvensoside D,0.023471222,8.2188e-05,0.015839251,0.000124697,0.000144115,0.001329066,0.000175129,0.000229474,0.03690345,0.140126437,0.000632445,0.003564961,0.048607263,0.002791213,0.000486989,0.002676188,0.001481684,0.084010249,5.16139e-05,0.010460012
Auriculoside,0.001494254,0.002345257,0.001455494,0.002216037,0.003511247,0.00225527,0.001177668,0.005202365,0.003299516,0.00235679,0.001736061,0.00263139,0.001507483,0.001142766,0.000728039,0.000655957,0.00176607,0.003962096,0.001700063,0.000641904
Avermectin A1a,0.008408568,0.002576812,0.004004633,0.002924382,0.00677675,0.003962474,0.001762285,0.00454011,0.006510506,0.006655977,0.0023659,0.002555587,0.003563131,0.003050215,0.002371545,0.002713649,0.003792145,0.004554389,0.004828265,0.001278386
BRUCINE,0.000323204,0.003191116,0.001033428,0.000920591,0.000317471,0.000213059,5.27492e-05,0.001361522,0.004006703,0.001639417,0.000751589,0.001712488,0.001352102,0.000991213,0.000256393,0.000492603,0.005639632,0.003237805,0.001528434,0.000725657
