community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	B_bin.1	B_bin.37	M_fe2_e	0.49	1.0	1	0.49
all	minimal	B_bin.1	B_bin.37	M_fe3_e	0.49	0.01	1	0.0049
all	minimal	B_bin.1	B_bin.37	M_glc__D_e	0.49	0.01	1	0.0049
all	minimal	B_bin.1	B_bin.37	M_glyc_e	0.49	0.02	1	0.0098
all	minimal	B_bin.1	B_bin.37	M_h2s_e	0.49	0.04	1	0.0196
all	minimal	B_bin.1	B_bin.37	M_h_e	0.49	0.03	1	0.0147
all	minimal	B_bin.1	B_bin.37	M_nh4_e	0.49	0.01	1	0.0049
all	minimal	B_bin.1	B_bin.37	M_o2_e	0.49	0.4	1	0.196
all	minimal	B_bin.1	B_bin.5	M_acald_e	0.06	0.02	1	0.0012
all	minimal	B_bin.1	B_bin.5	M_fe2_e	0.06	1.0	1	0.06
all	minimal	B_bin.1	B_bin.5	M_fe3_e	0.06	0.01	1	0.0006
all	minimal	B_bin.1	B_bin.5	M_h2s_e	0.06	0.04	1	0.0024
all	minimal	B_bin.1	B_bin.5	M_nh4_e	0.06	0.01	1	0.0006
all	minimal	B_bin.1	B_bin.6	M_4abz_e	0.03	0.06	1	0.0018
all	minimal	B_bin.1	B_bin.6	M_acald_e	0.03	0.02	1	0.0006
all	minimal	B_bin.1	B_bin.6	M_anhgm_e	0.03	0.02	1	0.0006
all	minimal	B_bin.1	B_bin.6	M_fe2_e	0.03	1.0	1	0.03
all	minimal	B_bin.1	B_bin.6	M_fe3_e	0.03	0.01	1	0.0003
all	minimal	B_bin.1	B_bin.6	M_glc__D_e	0.03	0.01	1	0.0003
all	minimal	B_bin.1	B_bin.6	M_glu__L_e	0.03	0.01	1	0.0003
all	minimal	B_bin.1	B_bin.6	M_glyc_e	0.03	0.02	1	0.0006
all	minimal	B_bin.1	B_bin.6	M_h2s_e	0.03	0.04	1	0.0012
all	minimal	B_bin.1	B_bin.6	M_h_e	0.03	0.03	1	0.0009
all	minimal	B_bin.1	B_bin.6	M_his__L_e	0.03	0.03	1	0.0009
all	minimal	B_bin.1	B_bin.6	M_nh4_e	0.03	0.01	1	0.0003
all	minimal	B_bin.1	B_bin.7	M_LalaDgluMdapDala_e	1.0	0.88	1	0.88
all	minimal	B_bin.1	B_bin.7	M_acald_e	1.0	0.02	1	0.02
all	minimal	B_bin.1	B_bin.7	M_anhgm_e	1.0	0.02	1	0.02
all	minimal	B_bin.1	B_bin.7	M_arg__L_e	1.0	1.0	1	1.0
all	minimal	B_bin.1	B_bin.7	M_fe3_e	1.0	0.01	1	0.01
all	minimal	B_bin.1	B_bin.7	M_glu__L_e	1.0	0.01	1	0.01
all	minimal	B_bin.1	B_bin.7	M_glyc_e	1.0	0.02	1	0.02
all	minimal	B_bin.1	B_bin.7	M_h2s_e	1.0	0.04	1	0.04
all	minimal	B_bin.1	B_bin.7	M_h_e	1.0	0.03	1	0.03
all	minimal	B_bin.1	B_bin.7	M_nh4_e	1.0	0.01	1	0.01
all	minimal	B_bin.1	B_bin.7	M_o2_e	1.0	0.4	1	0.4
all	minimal	B_bin.1	B_bin.8	M_acald_e	0.3	0.02	1	0.006
all	minimal	B_bin.1	B_bin.8	M_alaala_e	0.3	0.01	1	0.003
all	minimal	B_bin.1	B_bin.8	M_fe2_e	0.3	1.0	1	0.3
all	minimal	B_bin.1	B_bin.8	M_fe3_e	0.3	0.01	1	0.003
all	minimal	B_bin.1	B_bin.8	M_glyc_e	0.3	0.02	1	0.006
all	minimal	B_bin.1	B_bin.8	M_h2s_e	0.3	0.04	1	0.012
all	minimal	B_bin.1	B_bin.8	M_h_e	0.3	0.03	1	0.009
all	minimal	B_bin.1	B_bin.8	M_nh4_e	0.3	0.01	1	0.003
all	minimal	B_bin.1	B_bin.8	M_o2_e	0.3	0.4	1	0.12
all	minimal	B_bin.1	B_bin.9	M_4abz_e	0.04	0.06	1	0.0024
